id,time,outerdevice_id,outerdevice_parameter_id,value,create_at,create_user,elec
41391956,12:00:00 AM,1370,21,1809760,0.023740741,DeviceDataService,110
41392149,1:00:00 AM,1370,21,1809864.88,0.023740741,DeviceDataService,104.88
41392342,2:00:00 AM,1370,21,1809966.38,0.023740741,DeviceDataService,101.5
41392535,3:00:00 AM,1370,21,1810058.38,0.023740741,DeviceDataService,92
41392728,4:00:00 AM,1370,21,1810154.75,0.023740741,DeviceDataService,96.37
41392921,5:00:00 AM,1370,21,1810258.88,0.023740741,DeviceDataService,104.13
41393114,6:00:00 AM,1370,21,1810379.25,0.023740741,DeviceDataService,120.37
41393307,7:00:00 AM,1370,21,1810523.12,0.023740741,DeviceDataService,143.87
41393500,8:00:00 AM,1370,21,1810696.88,0.023740741,DeviceDataService,173.76
41393693,9:00:00 AM,1370,21,1810943.25,0.023740741,DeviceDataService,246.37
41393886,10:00:00 AM,1370,21,1811224.12,0.023740741,DeviceDataService,280.87
41394079,11:00:00 AM,1370,21,1811483.12,0.023740741,DeviceDataService,259
41394272,12:00:00 PM,1370,21,1811727.62,0.023740741,DeviceDataService,244.5
41394465,1:00:00 PM,1370,21,1811972.88,0.023740741,DeviceDataService,245.26
41394658,2:00:00 PM,1370,21,1812240,0.023740741,DeviceDataService,267.12
41394851,3:00:00 PM,1370,21,1812507.62,0.023740741,DeviceDataService,267.62
41395044,4:00:00 PM,1370,21,1812787.25,0.023740741,DeviceDataService,279.63
41395237,5:00:00 PM,1370,21,1813054.88,0.023740741,DeviceDataService,267.63
41395430,6:00:00 PM,1370,21,1813290.38,0.023740741,DeviceDataService,235.5
41395623,7:00:00 PM,1370,21,1813508.38,0.023740741,DeviceDataService,218
41395816,8:00:00 PM,1370,21,1813709.12,0.023740741,DeviceDataService,200.74
41396009,9:00:00 PM,1370,21,1813901.12,0.023740741,DeviceDataService,192
41396202,10:00:00 PM,1370,21,1814083.25,0.023740741,DeviceDataService,182.13
41396395,11:00:00 PM,1370,21,1814236,0.023740741,DeviceDataService,152.75
41396571,12:00:00 AM,1370,21,1814337.12,0.023836806,DeviceDataService,101.12
41396764,1:00:00 AM,1370,21,1814438.38,0.023836806,DeviceDataService,101.26
41396957,2:00:00 AM,1370,21,1814538.75,0.023836806,DeviceDataService,100.37
41397150,3:00:00 AM,1370,21,1814638,0.023836806,DeviceDataService,99.25
41397343,4:00:00 AM,1370,21,1814731.25,0.023836806,DeviceDataService,93.25
41397536,5:00:00 AM,1370,21,1814838,0.023836806,DeviceDataService,106.75
41397729,6:00:00 AM,1370,21,1814955.25,0.023836806,DeviceDataService,117.25
41397922,7:00:00 AM,1370,21,1815092,0.023836806,DeviceDataService,136.75
41398115,8:00:00 AM,1370,21,1815273.25,0.023836806,DeviceDataService,181.25
41398308,9:00:00 AM,1370,21,1815519.62,0.023836806,DeviceDataService,246.37
41398501,10:00:00 AM,1370,21,1815784.88,0.023836806,DeviceDataService,265.26
41398694,11:00:00 AM,1370,21,1816057.25,0.023836806,DeviceDataService,272.37
41398887,12:00:00 PM,1370,21,1816301.12,0.023836806,DeviceDataService,243.87
41399080,1:00:00 PM,1370,21,1816540.38,0.023836806,DeviceDataService,239.26
41399273,2:00:00 PM,1370,21,1816802.88,0.023836806,DeviceDataService,262.5
41399466,3:00:00 PM,1370,21,1817066.75,0.023836806,DeviceDataService,263.87
41399659,4:00:00 PM,1370,21,1817343.62,0.023836806,DeviceDataService,276.87
